Dedicatee,STC number,Title,Title (other),USTC classification,Author,Author(s) (other),Date of publication,Printer/publisher,Language of publication
A. R.,15688,Politeupbuia [sic]. VVits common-wealth.,,"Adages, aphorisms, emblem books, jests, proverbs",N. L. fl. 1580-1607.,"Bodenham, John, fl. 1600 (attributed name.)",1620,"Printed by W[illiam] S[tansby] for I. Smethwicke, and are to be sold at his shop in Saint Dunstanes Church-ward vnder the Dyall",English
"A., R.",12216,"Alcida Greenes metamorphosis, vvherein is discouered, a pleasant transformation of bodies into sundrie shapes, shewing that as vertues beautifie the mind, so vanities giue greater staines, than the perfection of any quality can rase out: the discourse confirmed with diuerse merry and delightfull histories; full of graue principles to content age, and sawsed with pleasant parlees, and witty answeres, to satisfie youth: profitable for both, and not offensiue to any. By R.G.",,Literature,"Greene, Robert, 1558?-1592.",,1617,Printed by George Purslowe,English
"A., R.",688,"A briefe introduction to syntax Compendiously shewing the true vse, grounds, and reason of Latin construction. Collected for the most part out of Nabrissa his Spanish copie. With the concordance supplyed, by I.H. med. doct. Together with the more difficult assertions, proued by the vse of the learned languages.",,"Dictionaries, vocabularies, phrase books, instruction in foreign languages","Nebrija, Antonio de, 1444?-1522.","Hawkins, John, fl. 1635.",1631,"Printed by Thomas Harper, for G. Edmondson",English
"A., R.",11688,"A defiance to death Being the funebrious commemoration of the Right Honourable, Baptist Lord Hickes, Viscount Camden, late deceased. Preached at Camden in Gloucester-shire, Nouember 8. 1629. By Iohn Gaule.",,Religious; Funeral orations,"Gaule, John, 1604?-1687.",,1630,"Printed by Thomas Harper, for Robert Allot, and are to be sold at his shop in Pauls Church-yard at the signe of the Blacke Beare",English
"A., R.",22567,"Nobilissimo et summo heroi, musarum Mecoenati, Alexandro Setono, Fermilodunensi Comiti; Fivæ & Vrquarti Domino: Magno Scotiae cancellario, eucharisticon de regis & reipublicae, salute. Novem. V. Anno Dom. 1605..",,Poetry; Funeral orations,"Simson, Archibald, 1564-1628.",,1621,"excudit Eduardus Rabanus, Universitatis Typographus.",English
"A., R.",22567,"Hieroglyphica animalium terrestrium, volatilium, natatilium, reptilium, insectorum, vegetivorum, metallorum, lapidum: &c. quæ in scripturis Sacris inveniuntur & plurimorum aliorum, cum eorum interpretationibus, ob theologiæ studiosos. Opus contextum per Archibaldum Simsonum Dalkethensis ecclesiæ pastorem.",,Religious; Science and mathematics,"Simson, Archibald, 1564-1628.",,1624,"Excudebat Thomas Finlason, augustissimæ Regiæ Maiest. typographus",Latin
"A., R.",24096,"Alba The months minde of a melancholy louer, diuided into three parts: by R.T. Gentleman. Hereunto is added a most excellent pathetical and passionate letter, sent by Duke D'Epernoun, vnto the late French King, Henry the 3. of that name, when he was commanded from the court, and from his royall companie. Translated into English by the foresaid author.",,Poetry,"Tofte, Robert, 1561-1620.","Epernon, Jean-Louis de Nogaret de La Valette, duc d', 1554-1642.",1598,"Printed by Felix Kingston, for Matthew Lownes",English
"A., S.",11,"The life and gate of Christianitie entreating of the sacrament of baptisme, deuided into five bookes. Contayning the effects, the mater, the forme, the baptiser, and the partie baptised: with the reasons and use of all the auntient rites and ceremonies. ... Composed, gathered, and written by O.A. ...",,Religious,"Almond, Oliver.",,1614,"Par Pierre Auroi, au Pelican d'or] With permission",English
"A., S.",490,"Neue. 1630. A new almanacke and prognostication, with the forraigne computation, seruing for the yeere of our Lord and Sauiour Iesus Christ, 1630 Being the second after the bissextile or leape yeere. Rectified for the eleuation of the pole articke, and meridian of the ancient and famous cittie of Norwich: and may serue generally for the most parts of great Britaine. Practised, penned, and published, by John Neue, gent.",,"Calendars, almanacs and prognostications; Women in publishing","Neve, John, fl. 1626.",,1630,"Printed [by Elizabeth Allde] for the Company of Stationers,",English
"A., S.",490,"Neve 1637 A new almanacke and prognostication, with the forraigne computation serving for the yeere of our Lord God, and Saviour Iesus Christ, 1637. Being the first after the bissextile or leape yeere. Rectified for the elevation of the pole Artick, and meridian of the ancient city of Norwich: and may serve generally for any place within this monarchie of great Brittaine. Practised, penned, and published, by Iohn Neve gentleman.",,"Astrology and cosmography; Calendars, almanacs and prognostications","Neve, John, fl. 1626.",,1637,printed by R. O[ulton]. for the Company of Stationers,English
"A., S.",490,"Neve, 1639 a new almanack and prognostication, with the forraigne computation serving for the yeere of our Lord God, and saviour Iesus Christ, 1639, being the third after the bissextile or leape-yeere : rectified for the elevation of the pole artike and meridian of the ancient and famous city of Norwich, and may serue generally for the most parts of Great Britaine / practised, penned and published by Iohn Neve ...","Prognostication serving for the yeere of our Lord God, and sauiour Iesus Christ, 1639.","Astrology and cosmography; Calendars, almanacs and prognostications","Neve, John, fl. 1626.",,1639,Printed by I.D. for the Company of Stationers,English
"A., S.",490,"Neue. 1627. A new almanacke and prognostication, with the forraigne computation, seruing for the yeare of our Lord and Sauiour Iesus Christ. 1627 Being the third after the bissextile or leap-yeare. Rectified for the eleuation of the pole articke, and meridian of the ancient and famous citie of Norwich. And may serue generally for most parts of Great Britaine. Published by I. Neue gent.",,"Calendars, almanacs and prognostications","Neve, John, fl. 1626.",,1627,Printed [by E. Allde] for the Company of Stationers,English
"A., S.",490,"Neve, 1638 a new almanacke and prognostication, with the forraigne computation serving for the yeere of our Lord God, and saviour Iesus Christ, 1638, being the second after the bissextile or leap yeere : rectified for the elevation of the pole artick and meridian of the ancient and famous city of Norwich, and may serve generally for the most parts of Great Britaine / practised, penned and published by Iohn Neve ...","Prognostication serving for the yeere of our Lord God, and sauiour Iesus Christ, 1638.","Astrology and cosmography; Calendars, almanacs and prognostications","Neve, John, fl. 1626.",,1638,Printed by R.O. for the Company of Stationers,English
"A., S.",490,"Neue 1634 a new almanacke, and prognostication, with the forraigne computation, serving for the yeere of our Lord and Saviour Iesus Christ 1634, being the second after the bissextile or leape yeere : rectified for the elevation of the pole Articke, and meridian of the ancient and famous city of Norwich, and may serve generally for the most parts of Great Brittaine / practised, penned, and published by John Neve ...","Prognostication seruing for the yeare of our Lord God and Sauiour Iesus Christ 1634.; New almanacke and prognostication, with the forraigne computation, serving for the yeere of our Lord and Saviour Iesus Christ 1634.","Astrology and cosmography; Calendars, almanacs and prognostications","Neve, John, d. 1654.",,1634,Printed for the Company of Stationers,English
"A., S.",490,"Neue 1636 a new almanack and prognostication, with the forraigne computation serving for the yeere of our Lord God, and Saviour Iesus Christ, 1636, being the bissextile or leape yeere : rectified for the elevation of the pole Artick, and meridian of the ancient and famous citty of Norwich, and will serve without any sensible error, the whole kingdome of Great Brittaine / practised, penned, and published by Iohn Neve ...","Prognostication seruing for the yeare of our Lord God and Sauiour Iesus Christ 1636.; New almanack and prognostication with forraigne computation, serving for the yeere of our Lord God and Saviour Iesus Christ 1636.","Astrology and cosmography; Calendars, almanacs and prognostications","Neve, John, d. 1654.",,1636,Printed by E.A. for the Company of Stationers,English
"A., S.",490,"Neue. 1629. A new almanacke and prognostication, with the forraigne computation, seruing for the yeere of our Lord and Sauiour Iesus Christ. 1629 Being the first yeere after the bissextile or leape yeare. Rectified for the eleuation of the pole articke, and meridian of the ancient and famous cittie of Norwich: and may serue generally for the most parts of great Britaine. Practised, penned, and published by Iohn Neue, gent.",,"Calendars, almanacs and prognostications; Women in publishing","Neve, John, fl. 1626.",,1629,"Printed [by Elizabeth Allde] for the Company of Stationers,",English
